id,query,intent_json
2643,feeling motivational movie,"{""mood"": ""motivational""}"
2644,mani ratnam film movie,"{""title"": ""Mani Ratnam film""}"
2645,raees review,"{""title"": ""Raees"", ""query_type"": ""rating/review""}"
2646,drama OTT show,"{""content_type"": ""Web Series"", ""genre"": ""Drama""}"
2647,greek god ka dilwale dulhania le jayenge,"{""actor"": ""Hrithik Roshan"", ""title"": ""Dilwale Dulhania Le Jayenge""}"
2648,katrina ki best dark comedy film,"{""actor"": ""Katrina Kaif"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
2649,katrina film dasara,"{""actor"": ""Katrina Kaif"", ""title"": ""Dasara""}"
2650,mollywood intense movie,"{""mood"": ""intense"", ""language"": ""Malayalam""}"
2651,family sci-fi movies 2021,"{""genre"": ""Sci-Fi"", ""year"": 2021, ""audience"": ""family""}"
2652,dream girl 2 type movie,"{""similar_to"": ""Dream Girl 2""}"
2653,katrina ka dasara,"{""actor"": ""Katrina Kaif"", ""title"": ""Dasara""}"
2654,thunivu jaisi movie,"{""similar_to"": ""Thunivu""}"
2655,aamir ke saare movies,"{""actor"": ""Aamir Khan""}"
2656,is gehraiyaan available on Jio Cinema,"{""title"": ""Gehraiyaan"", ""platform"": ""Jio Cinema"", ""query_type"": ""availability""}"
2657,shahrukh ke saare movies,"{""actor"": ""Shah Rukh Khan""}"
2658,mirzapur imdb rating,"{""title"": ""Mirzapur"", ""query_type"": ""rating/review""}"
2659,vishal bhardwaj directed movies,"{""director"": ""Vishal Bhardwaj""}"
2660,tamil mein 2020,"{""year"": 2020, ""language"": ""Tamil""}"
2661,t'wood funny movie,"{""mood"": ""funny"", ""language"": ""Telugu""}"
2662,kushi type movie,"{""similar_to"": ""Kushi""}"
2663,mystery movies of allu arjun,"{""actor"": ""Allu Arjun"", ""genre"": ""Mystery""}"
2664,family sci-fi movies 2022,"{""genre"": ""Sci-Fi"", ""year"": 2022, ""audience"": ""family""}"
2665,bhojpuri drama film,"{""language"": ""Bhojpuri"", ""genre"": ""Drama""}"
2666,alia bhatt dark comedy movie,"{""actor"": ""Alia Bhatt"", ""genre"": ""Dark comedy""}"
2667,telugu lo tearjerker movie,"{""mood"": ""tearjerker"", ""language"": ""Telugu""}"
2668,best mystery movies of 2024,"{""genre"": ""Mystery"", ""year"": 2024, ""rating_type"": ""top rated""}"
2669,nawaz superhit movies,"{""actor"": ""Nawazuddin Siddiqui"", ""rating_type"": ""hit""}"
2670,pk review,"{""title"": ""PK"", ""query_type"": ""rating/review""}"
2671,dream girl 2 ke jaise aur koi hai kya,"{""similar_to"": ""Dream Girl 2""}"
2672,bhojpuri sci-fi web series,"{""language"": ""Bhojpuri"", ""genre"": ""Sci-Fi"", ""content_type"": ""Web Series""}"
2673,dips drama 2024,"{""genre"": ""Drama"", ""year"": 2024, ""actor"": ""Deepika Padukone""}"
2674,best hindi mein sci-fi,"{""language"": ""Hindi"", ""genre"": ""Sci-Fi"", ""rating_type"": ""top rated""}"
2675,piggy chops wali badhaai ho,"{""title"": ""Badhaai Ho"", ""actor"": ""Priyanka Chopra""}"
2676,show me Bhojpuri movies from 2018,"{""language"": ""Bhojpuri"", ""year"": 2018}"
2677,best gujarati crime,"{""language"": ""Gujarati"", ""genre"": ""Crime"", ""rating_type"": ""top rated""}"
2678,ayushman new movie vikram,"{""title"": ""Vikram"", ""recency"": ""latest"", ""actor"": ""Ayushmann Khurrana""}"
2679,similar to thunivu,"{""similar_to"": ""Thunivu""}"
2680,vidya 12th fail movie,"{""actor"": ""Vidya Balan"", ""title"": ""12th Fail""}"
2681,how is tiger zinda hai,"{""title"": ""Tiger Zinda Hai"", ""query_type"": ""rating/review""}"
2682,is dangal on Jio Cinema,"{""title"": ""Dangal"", ""platform"": ""Jio Cinema""}"
2683,top rated Telugu mystery,"{""language"": ""Telugu"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
2684,sandalwood sci-fi film,"{""language"": ""Kannada"", ""genre"": ""Sci-Fi""}"
2685,show me Telugu movies from 2022,"{""language"": ""Telugu"", ""year"": 2022}"
2686,best crime movies of 2021,"{""genre"": ""Crime"", ""year"": 2021, ""rating_type"": ""top rated""}"
2687,movies by bhansali,"{""director"": ""Sanjay Leela Bhansali""}"
2688,tiger zinda hai movie,"{""title"": ""Tiger Zinda Hai""}"
2689,bengali OTT show,"{""content_type"": ""Web Series"", ""language"": ""Bengali""}"
2690,jawan jesi film suggest karo,"{""similar_to"": ""Jawan""}"
2691,family sports movies 2022,"{""genre"": ""Sports"", ""year"": 2022, ""audience"": ""family""}"
2692,best drama movies of 2025,"{""genre"": ""Drama"", ""year"": 2025, ""rating_type"": ""top rated""}"
2693,is dangal good,"{""title"": ""Dangal"", ""rating_type"": ""top rated""}"
2694,if you liked pagglait,"{""similar_to"": ""Pagglait""}"
2695,thalaivar film scam 1992,"{""actor"": ""Rajinikanth"", ""title"": ""Scam 1992""}"
2696,what are good dark comedy films on MX Player,"{""genre"": ""Dark comedy"", ""platform"": ""MX Player"", ""rating_type"": ""top rated""}"
2697,marathi crime film,"{""language"": ""Marathi"", ""genre"": ""Crime""}"
2698,ludo with bunny,"{""actor"": ""Allu Arjun"", ""title"": ""Ludo""}"
2699,watch phone bhoot,"{""title"": ""Phone Bhoot""}"
2700,if you liked dilwale dulhania le jayenge,"{""similar_to"": ""Dilwale Dulhania Le Jayenge""}"
2701,bebo wali haseen dillruba,"{""actor"": ""Kareena Kapoor"", ""title"": ""Haseen Dillruba""}"
2702,ludo imdb rating,"{""title"": ""Ludo"", ""query_type"": ""rating/review""}"
2703,punjabi historical,"{""language"": ""Punjabi"", ""genre"": ""Historical""}"
2704,best comedy movies of 2019,"{""genre"": ""Comedy"", ""year"": 2019, ""rating_type"": ""top rated""}"
2705,if you liked omg 2,"{""similar_to"": ""OMG 2""}"
2706,koi funny movie suggest karo,"{""mood"": ""funny""}"
2707,katrina new movie hi nanna,"{""actor"": ""Katrina Kaif"", ""title"": ""Hi Nanna"", ""recency"": ""latest""}"
2708,family psychological thriller movies 2023,"{""genre"": ""Psychological thriller"", ""year"": 2023, ""audience"": ""family""}"
2709,dasara OTT release,"{""title"": ""Dasara"", ""query_type"": ""availability""}"
2710,aamir khan dasara movie,"{""actor"": ""Aamir Khan"", ""title"": ""Dasara""}"
2711,bhojpuri family web series,"{""language"": ""Bhojpuri"", ""genre"": ""Family"", ""content_type"": ""Web Series""}"
2712,movies released in 2023,"{""year"": 2023}"
2713,is jawan on Netflix,"{""title"": ""Jawan"", ""platform"": ""Netflix""}"
2714,kannada psychological thriller,"{""language"": ""Kannada"", ""genre"": ""Psychological thriller""}"
2715,sardar udham imdb rating,"{""title"": ""Sardar Udham"", ""query_type"": ""rating/review""}"
2716,darlings kahan dekhein,"{""title"": ""Darlings"", ""query_type"": ""availability"", ""actor"": ""Prabhas""}"
2717,dark marathi film,"{""mood"": ""dark"", ""language"": ""Marathi""}"
2718,movies like vikram vedha,"{""similar_to"": ""Vikram Vedha""}"
2719,allu arjun tiger zinda hai movie,"{""actor"": ""Allu Arjun"", ""title"": ""Tiger Zinda Hai""}"
2720,liger kahan dekhein,"{""title"": ""Liger"", ""query_type"": ""availability""}"
2721,aamir ki best movie,"{""actor"": ""Aamir Khan"", ""rating_type"": ""top rated""}"
2722,biopic movies of vidya balan,"{""actor"": ""Vidya Balan"", ""genre"": ""Biopic""}"
2723,similar to fukrey 3,"{""similar_to"": ""Fukrey 3""}"
2724,nawaz mallu film sci-fi,"{""actor"": ""Nawazuddin Siddiqui"", ""genre"": ""Sci-Fi"", ""language"": ""Malayalam""}"
2725,show me Tamil movies from 2021,"{""language"": ""Tamil"", ""year"": 2021}"
2726,new sandalwood crime,"{""language"": ""Kannada"", ""genre"": ""Crime"", ""recency"": ""latest""}"
2727,top rated Kannada comedy,"{""language"": ""Kannada"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
2728,pc wali garuda gamana vrishabha vahana,"{""actor"": ""Priyanka Chopra"", ""title"": ""Garuda Gamana Vrishabha Vahana""}"
2729,leo full movie,"{""title"": ""Leo""}"
2730,dulquer new movie garuda gamana vrishabha vahana,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Garuda Gamana Vrishabha Vahana"", ""recency"": ""latest""}"
2731,ayushmann 2018 movie,"{""actor"": ""Ayushmann Khurrana"", ""year"": 2018}"
2732,is aadujeevitham good,"{""title"": ""Aadujeevitham"", ""rating_type"": ""top rated""}"
2733,ayushmann ki best movie,"{""actor"": ""Ayushmann Khurrana"", ""rating_type"": ""top rated""}"
2734,greek god historical movie,"{""actor"": ""Hrithik Roshan"", ""genre"": ""Historical""}"
2735,allu arjun ki films,"{""actor"": ""Allu Arjun""}"
2736,k'wood mystery 2024,"{""language"": ""Tamil"", ""genre"": ""Mystery"", ""year"": 2024}"
2737,mr perfectionist superhit movies,"{""actor"": ""Aamir Khan"", ""rating_type"": ""hit""}"
2738,new tamil mein dark comedy,"{""language"": ""Tamil"", ""genre"": ""Dark comedy"", ""recency"": ""latest""}"
2739,best of kashyap,"{""director"": ""Anurag Kashyap"", ""rating_type"": ""top rated""}"
2740,nawaz ka 2024 wala,"{""actor"": ""Nawazuddin Siddiqui"", ""year"": 2024}"
2741,thunivu with kat,"{""title"": ""Thunivu"", ""actor"": ""Katrina Kaif""}"
2742,ulaganayagan premalu movie,"{""title"": ""Premalu"", ""actor"": ""Kamal Haasan""}"
2743,sports OTT show,"{""content_type"": ""Web Series"", ""genre"": ""Sports""}"
2744,tamil crime 2024,"{""language"": ""Tamil"", ""genre"": ""Crime"", ""year"": 2024}"
2745,mollywood romance movies,"{""language"": ""Malayalam"", ""genre"": ""Romance""}"
2746,show me Kannada movies from 2022,"{""language"": ""Kannada"", ""year"": 2022}"
2747,aamir wali vikram vedha,"{""actor"": ""Aamir Khan"", ""title"": ""Vikram Vedha""}"
2748,movies starring shahrukh,"{""actor"": ""Shah Rukh Khan""}"
2749,ayushman punjabi drama,"{""genre"": ""Drama"", ""language"": ""Punjabi"", ""actor"": ""Ayushmann Khurrana""}"
2750,thalaivar aadujeevitham movie,"{""actor"": ""Rajinikanth"", ""title"": ""Aadujeevitham""}"
2751,jawan,"{""title"": ""Jawan""}"
2752,2019 mein kaunsi achi movies aayi,"{""year"": 2019, ""rating_type"": ""top rated""}"
2753,punjabi horror 2021,"{""language"": ""Punjabi"", ""genre"": ""Horror"", ""year"": 2021}"
2754,manjummel boys with aamir,"{""actor"": ""Aamir Khan"", ""title"": ""Manjummel Boys""}"
2755,best of kjo,"{""director"": ""Karan Johar"", ""rating_type"": ""top rated""}"
2756,is scam 1992 available on ZEE5,"{""title"": ""Scam 1992"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
2757,best of katrina,"{""actor"": ""Katrina Kaif"", ""rating_type"": ""top rated""}"
2758,dabangg wala ka pk,"{""title"": ""PK"", ""actor"": ""Salman Khan""}"
2759,is aadujeevitham available on Netflix,"{""title"": ""Aadujeevitham"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
2760,andhadhun OTT release,"{""title"": ""Andhadhun"", ""query_type"": ""availability""}"
2761,ludo jaisi movie,"{""similar_to"": ""Ludo""}"
2762,movies like shershaah,"{""similar_to"": ""Shershaah""}"
2763,ayushmann ke saare movies,"{""actor"": ""Ayushmann Khurrana""}"
2764,top punjabi comedy movies,"{""language"": ""Punjabi"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
2765,is kabir singh available on Netflix,"{""title"": ""Kabir Singh"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
2766,rrr jaisi movie,"{""similar_to"": ""RRR""}"
2767,jailer with ayushmann,"{""actor"": ""Ayushmann Khurrana"", ""title"": ""Jailer""}"
2768,mard ko dard nahi hota kahan dekhein,"{""title"": ""Mard Ko Dard Nahi Hota"", ""query_type"": ""availability""}"
2769,sandalwood crime,"{""language"": ""Kannada"", ""genre"": ""Crime""}"
2770,freddy streaming kahan hai,"{""title"": ""Freddy"", ""query_type"": ""availability""}"
2771,badhaai ho review,"{""title"": ""Badhaai Ho"", ""query_type"": ""rating/review""}"
2772,sandalwood inspirational movie,"{""mood"": ""inspirational"", ""language"": ""Kannada""}"
2773,rebel star prabhas 777 charlie movie,"{""actor"": ""Prabhas"", ""title"": ""777 Charlie""}"
2774,darlings rating,"{""title"": ""Darlings"", ""query_type"": ""rating/review"", ""actor"": ""Prabhas""}"
2775,ranveer comedy movie,"{""actor"": ""Ranveer Singh"", ""genre"": ""Comedy""}"
2776,sports binge worthy,"{""genre"": ""Sports"", ""content_type"": ""Web Series"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
2777,is ponniyin selvan available on Disney+ Hotstar,"{""title"": ""Ponniyin Selvan"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability""}"
2778,overrated 2022 films,"{""year"": 2022, ""rating_type"": ""overrated""}"
2779,thappad type movie,"{""similar_to"": ""Thappad""}"
2780,best movies of 2025,"{""year"": 2025, ""rating_type"": ""top rated""}"
2781,is darlings available on Disney+ Hotstar,"{""title"": ""Darlings"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability"", ""actor"": ""Prabhas""}"
2782,new bollywood sci-fi,"{""language"": ""Hindi"", ""genre"": ""Sci-Fi"", ""recency"": ""latest""}"
2783,what are good sci-fi films on ZEE5,"{""genre"": ""Sci-Fi"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}"
2784,tiger shroff 2019 movie,"{""actor"": ""Tiger Shroff"", ""year"": 2019}"
2785,dasara film,"{""title"": ""Dasara""}"
2786,movies like thappad,"{""similar_to"": ""Thappad""}"
2787,romantic night movie,"{""mood"": ""romantic""}"
2788,thunivu imdb rating,"{""title"": ""Thunivu"", ""query_type"": ""rating/review""}"
2789,best crime movies of 2024,"{""genre"": ""Crime"", ""year"": 2024, ""rating_type"": ""top rated""}"
2790,what are good sports films on Jio Cinema,"{""genre"": ""Sports"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}"
2791,telugu lo family 2024,"{""language"": ""Telugu"", ""genre"": ""Family"", ""year"": 2024}"
2792,sacred games kahan dekhein,"{""title"": ""Sacred Games"", ""query_type"": ""availability""}"
2793,rajamouli directed movies,"{""director"": ""SS Rajamouli""}"
2794,dips film kesari,"{""title"": ""Kesari"", ""actor"": ""Deepika Padukone""}"
2795,manjummel boys movie,"{""title"": ""Manjummel Boys""}"
2796,best marathi comedy,"{""language"": ""Marathi"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
2797,animal film,"{""title"": ""Animal""}"
2798,khiladi ki best movie,"{""actor"": ""Akshay Kumar"", ""rating_type"": ""top rated""}"
2799,war film,"{""title"": ""War""}"
2800,superhit marathi sports film,"{""language"": ""Marathi"", ""genre"": ""Sports"", ""rating_type"": ""hit""}"
2801,is uri available on Amazon Prime,"{""title"": ""Uri"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
2802,pagglait available hai kya OTT pe,"{""title"": ""Pagglait"", ""query_type"": ""availability""}"
2803,tiger zinda hai jesi film suggest karo,"{""similar_to"": ""Tiger Zinda Hai""}"
2804,is aspirants available on Amazon Prime,"{""title"": ""Aspirants"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
2805,top rated Bengali psychological thriller,"{""language"": ""Bengali"", ""genre"": ""Psychological thriller"", ""rating_type"": ""top rated""}"
2806,supernatural movies of shah rukh,"{""actor"": ""Shah Rukh Khan"", ""genre"": ""Supernatural""}"
2807,b'wood biopic,"{""genre"": ""Biopic"", ""language"": ""Hindi""}"
2808,amitabh ki best movie,"{""actor"": ""Amitabh Bachchan"", ""rating_type"": ""top rated""}"
2809,liger imdb rating,"{""title"": ""Liger"", ""query_type"": ""rating/review""}"
2810,irfan khan wali ponniyin selvan,"{""actor"": ""Irrfan Khan"", ""title"": ""Ponniyin Selvan""}"
2811,vikram vedha movie,"{""title"": ""Vikram Vedha""}"
2812,bangla psychological thriller film,"{""language"": ""Bengali"", ""genre"": ""Psychological thriller""}"
2813,new punjabi sports,"{""language"": ""Punjabi"", ""genre"": ""Sports"", ""recency"": ""latest""}"
2814,bhai film rrr,"{""actor"": ""Salman Khan"", ""title"": ""RRR""}"
2815,is sultan available on ZEE5,"{""title"": ""Sultan"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
2816,andhadhun film,"{""title"": ""Andhadhun""}"
2817,alia ka andhadhun,"{""actor"": ""Alia Bhatt"", ""title"": ""Andhadhun""}"
2818,nawaz action movie,"{""actor"": ""Nawazuddin Siddiqui"", ""genre"": ""Action""}"
2819,alia bhatt dobaaraa movie,"{""actor"": ""Alia Bhatt"", ""title"": ""Dobaaraa""}"
2820,mujhe romantic movie chahiye,"{""mood"": ""romantic""}"
2821,new marathi dark comedy,"{""language"": ""Marathi"", ""genre"": ""Dark comedy"", ""recency"": ""latest""}"
2822,jailer ka rating kya hai,"{""title"": ""Jailer"", ""query_type"": ""rating/review""}"
2823,the family man,"{""title"": ""The Family Man""}"
2824,scary gujarati film,"{""mood"": ""scary"", ""language"": ""Gujarati""}"
2825,leo ka rating kya hai,"{""title"": ""Leo"", ""query_type"": ""rating/review""}"
2826,vicky ki films,"{""actor"": ""Vicky Kaushal""}"
2827,romance movies of dips,"{""genre"": ""Romance"", ""actor"": ""Deepika Padukone""}"
2828,marathi comedy movies,"{""language"": ""Marathi"", ""genre"": ""Comedy""}"
2829,kannada horror 2024,"{""language"": ""Kannada"", ""genre"": ""Horror"", ""year"": 2024}"
2830,top tamil drama movies,"{""language"": ""Tamil"", ""genre"": ""Drama"", ""rating_type"": ""top rated""}"
2831,kushi with kareena,"{""actor"": ""Kareena Kapoor"", ""title"": ""Kushi""}"
2832,tiger ki best movie,"{""actor"": ""Tiger Shroff"", ""rating_type"": ""top rated""}"
2833,best of alia,"{""actor"": ""Alia Bhatt"", ""rating_type"": ""top rated""}"
2834,2018 ki best film,"{""year"": 2018, ""rating_type"": ""top rated""}"
2835,light hearted bengali film,"{""mood"": ""light hearted"", ""language"": ""Bengali""}"
2836,new punjabi biopic,"{""language"": ""Punjabi"", ""genre"": ""Biopic"", ""recency"": ""latest""}"
2837,gujarati psychological thriller,"{""language"": ""Gujarati"", ""genre"": ""Psychological thriller""}"
2838,is bahubali available on Netflix,"{""title"": ""Bahubali"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
2839,kollywood dark comedy movies,"{""language"": ""Tamil"", ""genre"": ""Dark comedy""}"
2840,best gujarati series,"{""content_type"": ""Web Series"", ""language"": ""Gujarati"", ""rating_type"": ""top rated""}"
2841,dq ka dunki,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Dunki""}"
2842,jailer movie,"{""title"": ""Jailer""}"
2843,bhansali ki best movie kaun si hai,"{""director"": ""Sanjay Leela Bhansali"", ""rating_type"": ""top rated""}"
2844,haseen dillruba movie,"{""title"": ""Haseen Dillruba""}"
2845,vijay film sardar udham,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Sardar Udham""}"
2846,shah rukh ki best horror film,"{""actor"": ""Shah Rukh Khan"", ""genre"": ""Horror"", ""rating_type"": ""top rated""}"
2847,best mystery movies of 2019,"{""genre"": ""Mystery"", ""year"": 2019, ""rating_type"": ""top rated""}"
2848,bhai ke saare movies,"{""actor"": ""Salman Khan""}"
2849,new gujarati drama,"{""language"": ""Gujarati"", ""genre"": ""Drama"", ""recency"": ""latest""}"
2850,mard ko dard nahi hota with vicky kaushal,"{""actor"": ""Vicky Kaushal"", ""title"": ""Mard Ko Dard Nahi Hota""}"
2851,pk available hai kya OTT pe,"{""title"": ""PK"", ""query_type"": ""availability""}"
2852,thalaivar 2022 movie,"{""actor"": ""Rajinikanth"", ""year"": 2022}"
2853,kangana 2019 movie,"{""actor"": ""Kangana Ranaut"", ""year"": 2019}"
2854,varisu with vidya,"{""actor"": ""Vidya Balan"", ""title"": ""Varisu""}"
2855,tiger shroff ki best movie,"{""actor"": ""Tiger Shroff"", ""rating_type"": ""top rated""}"
2856,similar to 777 charlie,"{""similar_to"": ""777 Charlie""}"
2857,pc wali movie,"{""actor"": ""Priyanka Chopra""}"
2858,sandalwood binge worthy,"{""language"": ""Kannada"", ""content_type"": ""Web Series"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
2859,movies starring taapsee,"{""actor"": ""Taapsee Pannu""}"
2860,thriller show,"{""content_type"": ""Web Series"", ""genre"": ""Thriller""}"
2861,darling ke saare movies,"{""actor"": ""Prabhas""}"
2862,what are good action films on SonyLIV,"{""genre"": ""Action"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
2863,punjabi 2025,"{""year"": 2025, ""language"": ""Punjabi""}"
2864,vijay ki best drama film,"{""actor"": ""Vijay Deverakonda"", ""genre"": ""Drama"", ""rating_type"": ""top rated""}"
2865,anurag kashyap 2020 movie,"{""director"": ""Anurag Kashyap"", ""year"": 2020}"
2866,hi nanna with allu arjun,"{""actor"": ""Allu Arjun"", ""title"": ""Hi Nanna""}"
2867,is rocky aur rani available on Amazon Prime,"{""title"": ""Rocky Aur Rani"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
2868,vijay wali sacred games,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Sacred Games""}"
2869,delhi crime ka rating kya hai,"{""title"": ""Delhi Crime"", ""query_type"": ""rating/review""}"
2870,what are good mystery films on Amazon Prime,"{""genre"": ""Mystery"", ""platform"": ""Amazon Prime"", ""rating_type"": ""top rated""}"
2871,taapsee 2019 movie,"{""actor"": ""Taapsee Pannu"", ""year"": 2019}"
2872,pk imdb rating,"{""title"": ""PK"", ""query_type"": ""rating/review""}"
2873,khiladi movies,"{""actor"": ""Akshay Kumar""}"
2874,sci-fi movies of kamal,"{""actor"": ""Kamal Haasan"", ""genre"": ""Sci-Fi""}"
2875,tollywood thriller web series,"{""language"": ""Telugu"", ""genre"": ""Thriller"", ""content_type"": ""Web Series""}"
2876,priyanka biopic movie,"{""actor"": ""Priyanka Chopra"", ""genre"": ""Biopic""}"
2877,is kushi available on Amazon Prime,"{""title"": ""Kushi"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
2878,motivational movie,"{""mood"": ""motivational""}"
2879,similar to article 15,"{""similar_to"": ""Article 15""}"
2880,punjabi thriller film,"{""language"": ""Punjabi"", ""genre"": ""Thriller""}"
2881,uri review,"{""title"": ""Uri"", ""query_type"": ""rating/review""}"
2882,top telugu lo comedy movies,"{""language"": ""Telugu"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
2883,is leo available on ZEE5,"{""title"": ""Leo"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
2884,bengali binge worthy,"{""language"": ""Bengali"", ""content_type"": ""Web Series"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
2885,punjabi movies on Disney+ Hotstar,"{""platform"": ""Disney+ Hotstar"", ""language"": ""Punjabi""}"
2886,kareena all movies list,"{""actor"": ""Kareena Kapoor""}"
2887,biopic show,"{""content_type"": ""Web Series"", ""genre"": ""Biopic""}"
2888,dasara review,"{""title"": ""Dasara"", ""query_type"": ""rating/review""}"
2889,feeling thriller wala movie,"{""mood"": ""thriller wala""}"
2890,family crime movies 2025,"{""genre"": ""Crime"", ""year"": 2025, ""audience"": ""family""}"
2891,malayalam biopic web series,"{""language"": ""Malayalam"", ""genre"": ""Biopic"", ""content_type"": ""Web Series""}"
2892,karan johar movies,"{""director"": ""Karan Johar""}"
2893,rrr rating,"{""title"": ""RRR"", ""query_type"": ""rating/review""}"
2894,badshah ka ludo,"{""title"": ""Ludo"", ""actor"": ""Shah Rukh Khan""}"
2895,brahmastra review,"{""title"": ""Brahmastra"", ""query_type"": ""rating/review""}"
2896,hirani directed movies,"{""director"": ""Rajkumar Hirani""}"
2897,hindi mein mystery film,"{""language"": ""Hindi"", ""genre"": ""Mystery""}"
2898,Jio Cinema punjabi,"{""platform"": ""Jio Cinema"", ""language"": ""Punjabi""}"
2899,omg 2 kahan dekhein,"{""title"": ""OMG 2"", ""query_type"": ""availability""}"
2900,is sacred games available on YouTube,"{""title"": ""Sacred Games"", ""platform"": ""YouTube"", ""query_type"": ""availability""}"
2901,what are good dark comedy films on Amazon Prime,"{""genre"": ""Dark comedy"", ""platform"": ""Amazon Prime"", ""rating_type"": ""top rated""}"
2902,dabangg wala shershaah movie,"{""title"": ""Shershaah"", ""actor"": ""Salman Khan""}"
2903,superstar rajini film gadar 2,"{""actor"": ""Rajinikanth"", ""title"": ""Gadar 2""}"
2904,emotional films recommend karo,"{""mood"": ""emotional""}"
2905,aadujeevitham movie,"{""title"": ""Aadujeevitham""}"
2906,sacred games,"{""title"": ""Sacred Games""}"
2907,show me Bengali movies from 2024,"{""language"": ""Bengali"", ""year"": 2024}"
2908,best family movies of 2021,"{""genre"": ""Family"", ""year"": 2021, ""rating_type"": ""top rated""}"
2909,movies starring superstar rajini,"{""actor"": ""Rajinikanth""}"
2910,bengali intense movie,"{""mood"": ""intense"", ""language"": ""Bengali""}"
2911,top tamil mystery movies,"{""language"": ""Tamil"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
2912,family dark comedy movies 2024,"{""genre"": ""Dark comedy"", ""year"": 2024, ""audience"": ""family""}"
2913,beast ka rating kya hai,"{""title"": ""Beast"", ""query_type"": ""rating/review""}"
2914,pagglait imdb rating,"{""title"": ""Pagglait"", ""query_type"": ""rating/review""}"
2915,vishal bhardwaj all films,"{""director"": ""Vishal Bhardwaj""}"
2916,bangla historical film,"{""language"": ""Bengali"", ""genre"": ""Historical""}"
2917,dunki kahan dekhein,"{""title"": ""Dunki"", ""query_type"": ""availability""}"
2918,tiger shroff mystery movie,"{""actor"": ""Tiger Shroff"", ""genre"": ""Mystery""}"
2919,action packed bhojpuri film,"{""mood"": ""action packed"", ""language"": ""Bhojpuri""}"
2920,is bramayugam good,"{""title"": ""Bramayugam"", ""rating_type"": ""top rated""}"
2921,dream girl 2 available hai kya OTT pe,"{""title"": ""Dream Girl 2"", ""query_type"": ""availability""}"
2922,bhool bhulaiyaa with vidya,"{""actor"": ""Vidya Balan"", ""title"": ""Bhool Bhulaiyaa""}"
2923,is shershaah available on ZEE5,"{""title"": ""Shershaah"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
2924,leo OTT release,"{""title"": ""Leo"", ""query_type"": ""availability""}"
2925,premalu ke jaise aur koi hai kya,"{""similar_to"": ""Premalu""}"
2926,aspirants imdb rating,"{""title"": ""Aspirants"", ""query_type"": ""rating/review""}"
2927,animal with ranveer singh,"{""actor"": ""Ranveer Singh"", ""title"": ""Animal""}"
2928,darling all movies list,"{""actor"": ""Prabhas""}"
2929,tearjerker marathi film,"{""mood"": ""tearjerker"", ""language"": ""Marathi""}"
2930,drama movies 2022,"{""year"": 2022, ""genre"": ""Drama""}"
2931,watch tiger zinda hai,"{""title"": ""Tiger Zinda Hai""}"
2932,vikram movie,"{""title"": ""Vikram""}"
2933,shah rukh ka kushi,"{""actor"": ""Shah Rukh Khan"", ""title"": ""Kushi""}"
2934,pc new film,"{""actor"": ""Priyanka Chopra"", ""recency"": ""latest""}"
2935,is dilwale dulhania le jayenge available on SonyLIV,"{""title"": ""Dilwale Dulhania Le Jayenge"", ""platform"": ""SonyLIV"", ""query_type"": ""availability""}"
2936,what are good action films on Netflix,"{""genre"": ""Action"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}"
2937,best mallu film crime,"{""language"": ""Malayalam"", ""genre"": ""Crime"", ""rating_type"": ""top rated""}"
2938,is mani ratnam film available on Amazon Prime,"{""title"": ""Mani Ratnam film"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
